list_name	name	label	region	province	cat	dealer	dealer1	dealer2	dealer3	dealer4	dealer5	dealer6	dealer7	dealer8	dealer9
district	kandalstueng	Kandal Stueng		kd		kd1									
district	sang	S'ang		kd		ksv5	kd1	kht3							
district	takhmau	Ta Khmau		kd		kd1									
district	kaohthum	Kaoh Thum		kd		kht3									
district	leukdaek	Leuk Daek		kd		ksv5	kht3								
district	sampeoupoun	Sampeou Poun		kd		kht3									
district	boreicholsar	Borei Cholsar		tke		krv5									
district	kaohandaet	Kaoh Andaet		tke		krv5									
district	kirivong	Kiri Vong		tke		krv5									
district	treang	Treang		tke		tak2	krv5								
district	kampongtrabaek	Kampong Trabaek		pv		ktb1									
district	mesang	Me Sang		pv		ktb1									
district	preahsdach	Preah Sdach		pv		pmr5	ktb1								
district	angkorborei	Angkor Borei		tke		pkb4									
district	preykabbas	Prey Kabbas		tke		pkb4									
district	baphnum	Ba Phnum		pv		pmr5									
district	peamchor	Peam Chor		pv		pmr5									
district	peamro	Peam Ro		pv		pmr5									
district	kamchaymear	Kamchay Mear		pv		sva7									
district	kanhchriech	Kanhchriech		pv		tkm2	sva7								
district	sithorkandal	Sithor Kandal		pv		tkm2	sva7								
district	pvg	Prey Veng		pv		sva7									
district	svayantor	Svay Antor		pv		sva7									
district	romeashaek	Romeas Haek		svr		svr4									
district	rumduol	Rumduol		svr		svr4									
district	svaychrum	Svay Chrum		svr		svr4									
district	dounkaev	Doun Kaev		tke		tak2									
district	tramkak	Tram Kak		tke		tak2									
district	chhuk	Chhuk		kka		sra5	cuk7								
district	chumkiri	Chum Kiri		kka		cuk7									
district	dangtong	Dang Tong		kka		kpt2	cuk7								
district	kamt	Kampot		kka		kpt2	cuk7								
district	baribour	Baribour		kchh		kcg4									
district	kampongleaeng	Kampong Leaeng		kchh		kcg4									
district	kampongchh	Kampong Chhnang		kchh		kcg4									
district	roleabier	Rolea B'ier		kchh		ktl6	kcg4								
district	tuekphos	Tuek Phos		kchh		kcg4									
district	botumsakor	Botum Sakor		kkg		sra5	kkg3								
district	khemaraphoumin	Khemara Phoumin		kkg		kkg3									
district	kirisakor	Kiri Sakor		kkg		kkg3									
district	mondolseima	Mondol Seima		kkg		kkg3									
district	thmabang	Thma Bang		kkg		sra5	kkg3								
district	phnumsruoch	Phnum Sruoch		kspe		sra5	kps7	ksp3							
district	samraongtong	Samraong Tong		kspe		ksp3	kps7								
district	bokor	Bokor		kka		kpt2									
district	tuekchhou	Tuek Chhou		kka		kpt2									
district	kampongsoam	Kampong Soam		psihan		pnp6	ksm1								
district	kaohrung	Kaoh Rung		psihan		ksm1									
district	preynob	Prey Nob		psihan		pnp6	ksm1								
district	preahsiha	Preah Sihanouk		psihan		ksm1									
district	aoral	Aoral		kspe		tpg2									
district	chbarmon	Chbar Mon		kspe		ksp3									
district	samkkeimunichay	Samkkei Munichay		kspe		ksp3									
district	thpong	Thpong		kspe		tpg2									
district	cholkiri	Chol Kiri		kchh		bty8	ktl6								
district	kampongtralach	Kampong Tralach		kchh		ktl6									
district	sameakkimeanchey	Sameakki Mean Chey		kchh		ktl6									
district	angkorchey	Angkor Chey		kka		ktr4									
district	banteaymeas	Banteay Meas		kka		ktr4									
district	damnakchangaeur	Damnak Chang'aeur		kep		ktr4									
district	kaeb	Kaeb		kep		ktr4									
district	kagtrach	Kampong Trach		kka		ktr4									
district	kampongseila	Kampong Seila		psihan		sra5	pnp6								
district	stuenghav	Stueng Hav		psihan		pnp6									
district	sraeambel	Srae Ambel		kkg		sra5									
district	aekphnum	Aek Phnum		btt		btb1									
district	banan	Banan		btt		bvl6	btb1								
district	battambangd	Battambang		btt		btb1									
district	koaskrala	Koas Krala		btt		mrs5	btb1								
district	sangkae	Sangkae		btt		mrs5	btb1								
district	thmakoul	Thma Koul		btt		bvl6	btb1								
district	bavel	Bavel		btt		bvl6									
district	rotonakmondol	Rotonak Mondol		btt		pln4	bvl6								
district	kamrieng	Kamrieng		btt		krg7									
district	phnumproek	Phnum Proek		btt		krg7									
district	sampovlun	Sampov Lun		btt		krg7									
district	moungruessei	Moung Ruessei		btt		mrs5									
district	rukhkiri	Rukh Kiri		btt		mrs5									
district	bakan	Bakan		ppu		pus5	mrs5								
district	samlout	Samlout		btt		vvg1	pln4								
district	salakrau	Sala Krau		ppa		pln4									
district	pail	Pailin		ppa		pln4									
district	malai	Malai		bmc		ppt3									
district	ouchrov	Ou Chrov		bmc		ppt3									
district	paoypaet	Paoy Paet		bmc		ppt3									
district	kandieng	Kandieng		ppu		pus5									
district	krakor	Krakor		ppu		pus5									
district	purs	Pursat		ppu		pus5									
district	phnumkravanh	Phnum Kravanh		ppu		vvg1	pus5								
district	talousenchey	Ta Lou Senchey		ppu		vvg1									
district	vealveaeng	Veal Veaeng		ppu		vvg1									
district	mongkolborei	Mongkol Borei		bmc		ppr8	bmc2								
district	sereisaophoan	Serei Saophoan		bmc		bmc2									
